County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam,Dem Turnout,Dem Percent
kane,SC0028,31,11,23,6,8,6,23,156,10.454985479186835,40.909090909090914
kane,EL0024,49,22,32,7,9,17,27,200,8.471933471933472,44.90358126721763
kane,EL0008,32,34,20,4,9,6,13,77,13.111111111111112,60.51282051282051
kane,EL0021,26,6,21,7,5,3,9,46,9.846547314578006,62.601626016260155
kane,SC0003,35,14,27,5,9,1,26,108,10.254163014899213,52.0
kane,DU0025,36,9,12,1,1,5,10,77,10.647482014388489,49.00662251655629
kane,DU0024,33,21,24,5,3,6,13,78,11.462882096069869,57.377049180327866
kane,DU0027,17,10,9,2,4,0,6,60,4.729064039408867,44.44444444444444
kane,DU0026,32,5,23,2,3,10,15,78,12.987012987012985,53.57142857142857
kane,DU0020,33,20,34,11,6,9,25,120,12.343470483005367,53.48837209302325
kane,DU0023,26,5,15,4,3,10,23,36,12.684365781710916,70.49180327868852
kane,DU0022,19,10,19,0,5,7,14,112,9.319899244332493,39.784946236559136
kane,DU0004,23,15,21,1,7,9,21,95,10.497835497835498,50.520833333333336
kane,DU0029,27,11,20,5,2,6,16,84,10.271546635182998,50.877192982456144
kane,DU0002,28,17,24,5,7,9,22,99,16.27906976744186,53.08056872037915
kane,DU0001,38,20,37,4,7,11,21,93,13.218390804597702,59.74025974025974
kane,SC0031,28,19,32,6,8,3,18,205,7.228915662650602,35.73667711598746
kane,EL0059,113,123,42,14,14,5,87,249,15.971107544141253,61.514683153013905
kane,SC0026,30,16,26,3,12,5,27,198,9.217660728117739,37.53943217665615
kane,SC0002,38,12,27,8,11,5,22,122,12.746113989637307,50.204081632653065
lake,Ela 86,60,36,36,3,4,4,24,162,15.666041275797374,50.75987841945289
lake,Ela 87,57,38,35,5,5,5,20,121,12.81055900621118,57.692307692307686
lake,Ela 84,23,45,18,5,0,5,23,117,12.044534412955466,50.42372881355932
lake,Ela 85,40,25,29,3,2,4,16,79,13.19290465631929,60.1010101010101
lake,Ela 82,46,24,30,5,3,4,15,112,10.645431684828164,53.13807531380753
lake,Ela 83,45,60,44,7,4,3,26,118,16.016949152542374,61.563517915309454
lake,Ela 80,41,38,25,1,0,7,24,95,13.203883495145632,58.87445887445888
lake,Ela 81,33,25,25,10,1,6,22,97,9.428129829984544,55.70776255707762
lake,Ela 104,43,18,34,2,1,5,25,118,11.490125673249551,52.03252032520326
lake,Ela 88,19,21,10,4,5,1,6,130,6.839378238341968,33.6734693877551
lake,Ela 89,33,23,31,6,8,9,24,129,12.665406427221171,50.950570342205324
lake,Ela 105,59,28,32,5,4,11,29,180,12.795125666412796,48.275862068965516
lake,Ela 102,42,24,27,7,5,7,28,187,10.471204188481675,42.813455657492355
lake,Ela 103,62,42,40,7,3,8,18,141,16.39344262295082,56.074766355140184
lake,Ela 79,41,26,26,10,2,2,26,141,10.982658959537572,48.54014598540146
lake,Ela 78,22,30,25,4,5,4,15,121,12.711864406779661,46.46017699115044
lake,Ela 100,32,34,32,6,5,7,18,125,9.557774607703282,51.737451737451735
lake,Ela 101,36,27,22,7,8,3,36,134,9.823321554770319,50.91575091575091
lake,Cuba 64,29,9,12,1,1,0,8,74,7.528230865746549,44.776119402985074
lake,Cuba 65,49,10,16,1,3,4,17,150,10.02004008016032,40.0
lake,Cuba 66,78,12,25,3,3,2,18,98,14.718162839248434,58.995815899581594
lake,Cuba 67,26,17,24,3,2,2,9,89,11.140939597315436,48.25581395348838
lake,Cuba 68,55,16,22,1,2,5,34,146,15.066964285714285,48.04270462633452
lake,Cuba 69,58,34,50,9,2,2,35,166,17.14801444043321,53.37078651685393
