County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam
dupage,Milton 130,13,3,19,1,2,0,11,131
dupage,Downers Grove 118,36,10,23,3,6,2,10,46
dupage,Lisle 22,17,5,74,1,18,1,16,86
dupage,Downers Grove 115,34,15,18,8,2,1,10,91
dupage,Downers Grove 112,30,15,41,8,1,3,12,79
dupage,Downers Grove 113,13,5,13,4,1,3,5,16
dupage,Wayne 50,32,12,12,5,3,1,12,79
dupage,Wayne 53,25,8,14,6,4,2,16,57
dupage,Wayne 52,14,12,21,4,4,3,11,69
dupage,Wayne 55,29,13,19,1,5,1,22,105
dupage,Wayne 54,26,16,12,2,6,7,14,51
dupage,Wayne 57,22,9,25,7,5,5,6,81
dupage,Wayne 56,14,5,6,0,1,2,10,90
dupage,Wayne 59,25,9,22,6,2,1,16,66
dupage,Wayne 58,16,5,15,4,2,0,7,55
dupage,Downers Grove 146,22,25,47,2,10,5,12,75
dupage,Downers Grove 149,40,6,62,5,6,4,15,107
dupage,Milton 71,22,8,32,2,8,1,31,117
dupage,Milton 119,6,7,8,0,0,0,3,20
dupage,Milton 111,33,10,28,2,3,3,19,75
dupage,Milton 110,25,12,33,6,8,4,12,75
dupage,Milton 113,10,6,54,1,4,1,29,52
dupage,Milton 112,17,7,16,1,4,2,13,90
dupage,Milton 115,14,9,25,2,4,2,24,83
dupage,Milton 114,10,10,18,3,7,2,19,60
dupage,Milton 116,24,8,28,9,2,4,30,119
dupage,Bloomingdale 9,23,17,23,5,6,5,9,72
dupage,Bloomingdale 43,26,12,18,4,6,3,13,70
dupage,Bloomingdale 45,14,8,15,6,2,2,20,218
dupage,Downers Grove 142,23,8,10,6,7,1,7,28
dupage,Naperville 10,5,13,28,5,42,1,32,90
dupage,Milton 86,16,18,22,6,2,2,15,43
dupage,York 30,22,5,21,0,6,3,9,116
dupage,Naperville 15,34,13,22,3,15,2,23,51
dupage,York 36,34,15,57,4,6,0,10,106
dupage,Winfield 4,33,6,21,2,8,1,21,108
dupage,Winfield 5,18,16,23,6,5,5,8,81
dupage,Winfield 6,11,6,21,3,7,1,8,72
dupage,Downers Grove 48,18,3,30,3,11,1,19,56
dupage,Winfield 1,39,13,22,2,8,7,10,80
dupage,Winfield 2,20,11,34,4,5,7,16,112
dupage,Downers Grove 47,10,7,36,3,6,2,8,40
dupage,Winfield 9,29,14,13,8,2,4,11,29
dupage,Downers Grove 45,25,10,52,4,7,3,7,104
dupage,Downers Grove 44,21,5,26,5,5,2,11,101
dupage,Naperville 19,15,6,31,5,30,3,31,56
dupage,Downers Grove 82,31,8,55,7,3,1,20,101
dupage,Lisle 83,15,13,12,1,15,2,12,41
dupage,Lisle 81,14,5,19,2,14,4,25,103
dupage,Lisle 80,16,10,18,4,5,3,11,61
dupage,Lisle 89,29,14,33,7,11,5,18,50
dupage,Lisle 88,6,8,66,2,7,3,13,37
dupage,Winfield 17,22,9,24,4,5,4,18,95
dupage,Winfield 14,36,16,39,8,14,5,19,120
dupage,Winfield 15,14,8,17,2,2,1,9,42
dupage,Winfield 12,25,16,40,4,7,2,19,121
dupage,Winfield 13,8,10,11,5,3,2,3,35
dupage,Winfield 18,26,13,25,2,7,1,20,111
dupage,Winfield 19,19,13,32,3,7,1,13,124
dupage,Milton 91,20,12,22,3,4,3,28,131
dupage,Milton 90,27,13,42,4,1,4,13,129
dupage,Milton 93,25,6,23,5,6,3,37,58
dupage,Milton 92,20,7,36,2,4,2,41,105
dupage,Milton 95,27,11,31,7,6,3,26,177
dupage,Milton 94,23,9,29,5,8,2,19,80
dupage,Milton 97,37,11,34,2,8,5,30,83
dupage,Milton 96,24,10,77,5,4,4,27,75
dupage,Lisle 14,11,3,16,1,12,1,10,66
dupage,Milton 98,25,8,16,3,7,4,9,80
dupage,Lisle 16,20,10,26,5,7,2,16,61
dupage,Lisle 11,15,11,31,1,25,0,36,81
dupage,Wayne 68,34,14,21,3,1,1,8,53
dupage,Wayne 60,12,5,13,2,1,1,9,44
dupage,Wayne 67,21,10,16,4,8,1,6,57
dupage,Wayne 1,29,14,13,6,4,0,9,156
dupage,Wayne 3,11,6,5,2,0,1,7,66
dupage,Wayne 2,26,10,24,4,5,5,4,105
dupage,Wayne 5,24,6,15,10,5,4,13,74
dupage,Wayne 4,18,13,17,7,4,2,17,66
dupage,Wayne 7,20,6,20,4,2,5,10,106
dupage,Wayne 6,26,17,25,7,6,4,12,79
dupage,Wayne 9,14,6,25,5,3,2,19,109
dupage,Wayne 8,12,5,13,2,3,1,5,63
dupage,Wayne 19,29,11,15,5,3,3,12,37
dupage,Wayne 15,21,14,19,4,4,5,9,51
dupage,Wayne 17,21,15,46,4,3,3,12,74
dupage,Wayne 11,31,14,5,4,1,3,6,92
dupage,Wayne 10,17,5,7,4,2,0,6,101
dupage,Wayne 13,49,12,12,7,5,5,6,69
dupage,Wayne 12,22,12,18,3,1,1,16,63
dupage,Downers Grove 14,29,16,38,5,12,2,19,91
dupage,Downers Grove 15,19,16,32,11,5,4,21,68
dupage,Downers Grove 11,31,10,60,11,3,2,18,80
dupage,Downers Grove 12,24,8,60,4,11,3,15,88
dupage,Bloomingdale 77,22,12,31,1,3,3,14,62
dupage,Downers Grove 50,21,14,94,5,18,3,31,103
dupage,York 130,21,5,31,1,6,5,11,72
dupage,York 111,45,22,27,6,10,5,9,65
dupage,York 114,30,12,78,6,10,5,21,90
dupage,York 119,14,5,14,3,0,3,4,34
dupage,York 118,26,13,22,7,6,1,8,45
dupage,York 75,33,15,37,5,10,3,25,87
dupage,York 74,49,23,42,4,10,2,25,77
dupage,York 77,30,15,29,7,0,2,17,100
dupage,Milton 46,30,15,24,0,2,5,21,73
dupage,Milton 47,33,18,43,6,4,3,17,63
dupage,Milton 44,21,5,34,1,8,3,21,60
dupage,Milton 45,19,5,95,1,7,1,24,86
dupage,Milton 42,27,9,20,4,7,3,18,80
dupage,Milton 43,16,19,55,6,3,1,50,91
dupage,Milton 40,24,12,36,2,10,1,28,93
dupage,Milton 41,13,16,44,2,4,4,24,69
dupage,Downers Grove 129,19,17,54,5,8,2,16,74
dupage,Milton 48,23,26,17,6,6,3,15,80
dupage,Milton 49,30,5,30,4,6,3,14,78
dupage,York 97,30,17,22,11,6,3,17,82
dupage,York 95,21,10,20,2,3,4,27,52
dupage,York 93,17,3,17,5,2,1,11,31
dupage,York 92,16,5,45,3,2,2,8,43
dupage,Lisle 104,9,3,16,1,24,1,22,82
dupage,Lisle 107,12,3,28,3,13,2,11,70
dupage,Lisle 106,13,6,16,1,9,2,11,43
dupage,Lisle 101,16,10,30,4,8,0,15,43
dupage,Lisle 100,9,7,36,1,17,2,34,48
dupage,Wayne 25,41,10,15,6,1,1,14,78
dupage,Wayne 26,14,10,11,4,2,5,11,64
dupage,Wayne 20,38,12,19,9,5,7,12,76
dupage,Wayne 21,31,4,26,4,1,3,9,75
dupage,Wayne 22,17,12,17,5,3,3,12,127
dupage,Wayne 23,32,9,26,6,1,8,17,81
dupage,Wayne 28,9,9,8,2,0,2,4,53
dupage,Lisle 52,22,8,25,3,14,4,30,86
dupage,Lisle 55,16,7,25,1,16,3,21,64
dupage,Winfield 23,14,8,9,5,1,2,3,46
dupage,Winfield 22,27,10,31,3,12,3,16,93
dupage,Winfield 21,26,14,21,5,10,2,15,93
dupage,Winfield 20,15,6,25,4,3,2,14,80
dupage,Milton 128,15,18,27,3,2,1,27,96
dupage,Milton 129,9,3,25,2,0,1,17,68
dupage,Milton 124,11,9,17,5,6,1,8,49
dupage,Milton 125,14,7,22,1,1,1,8,49
dupage,Milton 126,18,5,20,1,6,3,7,97
dupage,Milton 127,14,6,25,0,5,0,28,74
dupage,Milton 120,21,9,13,4,2,3,9,19
dupage,Milton 122,23,15,27,1,6,2,15,96
dupage,Milton 123,13,5,5,3,4,3,8,42
dupage,Lisle 4,16,5,42,2,45,5,24,58
dupage,Downers Grove 78,19,16,23,4,9,5,8,90
dupage,Downers Grove 79,20,10,39,3,4,4,12,90
dupage,Downers Grove 76,21,8,22,3,4,3,11,33
dupage,Downers Grove 74,23,18,21,2,4,4,12,57
dupage,Downers Grove 75,16,8,66,3,8,2,14,74
dupage,Downers Grove 73,21,5,35,0,5,0,6,71
dupage,Downers Grove 70,29,10,24,3,2,2,20,86
dupage,Downers Grove 71,30,18,25,6,5,7,6,56
dupage,York 9,39,14,48,6,11,2,25,68
dupage,York 3,14,7,10,2,3,0,16,77
dupage,Milton 99,27,4,20,3,3,2,17,73
dupage,Lisle 43,12,5,32,4,13,1,25,89
dupage,Naperville 84,9,3,13,0,24,0,22,65
dupage,York 26,22,12,52,4,6,2,9,45
dupage,York 21,30,21,31,4,6,2,13,70
dupage,Milton 39,21,5,19,2,8,5,20,111
dupage,Milton 38,33,13,34,5,13,3,19,75
dupage,Milton 37,19,16,25,2,5,2,12,159
dupage,Milton 36,29,11,44,7,8,1,40,92
dupage,Milton 35,27,17,40,3,3,5,13,84
dupage,Milton 34,37,18,34,4,4,6,15,78
dupage,Milton 33,22,12,40,2,2,4,29,73
dupage,Milton 32,37,28,18,7,11,7,29,185
dupage,Milton 31,15,5,11,1,3,4,2,65
dupage,Milton 30,19,15,23,3,6,3,13,82
dupage,Milton 82,22,11,23,0,7,0,36,78
dupage,Milton 83,32,13,29,1,9,6,32,109
dupage,Milton 80,17,17,26,5,10,4,27,70
dupage,Milton 81,21,9,41,6,2,4,13,96
dupage,Naperville 16,6,2,11,0,9,0,23,60
dupage,Milton 87,22,13,24,0,3,3,21,125
dupage,Milton 84,18,15,32,4,9,8,18,153
dupage,Milton 85,17,13,31,5,6,2,32,126
dupage,Milton 88,24,14,24,1,6,2,18,49
dupage,Milton 89,26,9,37,3,4,4,18,78
dupage,Downers Grove 119,5,3,4,2,0,2,3,62
dupage,Downers Grove 2,18,8,120,2,7,2,10,89
dupage,Downers Grove 3,21,8,100,6,9,3,23,105
dupage,Downers Grove 6,14,3,49,0,0,0,13,78
dupage,Downers Grove 7,14,9,40,3,4,1,22,101
dupage,Downers Grove 8,31,21,84,9,12,2,24,113
dupage,Downers Grove 9,19,6,106,2,14,1,18,61
dupage,Bloomingdale 68,12,5,18,2,1,2,12,42
dupage,York 19,1,0,5,0,1,0,2,13
dupage,York 18,30,10,40,6,7,9,13,76
dupage,Downers Grove 121,13,9,48,3,13,0,25,101
dupage,Lisle 8,31,11,62,4,12,4,14,68
dupage,Downers Grove 39,31,18,42,6,15,8,13,76
dupage,York 122,8,5,12,2,0,1,4,52
dupage,York 123,22,13,23,7,9,3,13,60
dupage,York 121,74,37,51,7,4,3,42,123
dupage,Downers Grove 32,19,7,23,8,11,3,11,67
dupage,Lisle 3,14,0,35,2,21,0,33,44
dupage,Downers Grove 30,24,12,56,5,10,1,9,74
dupage,Lisle 1,16,7,36,3,24,1,9,40
dupage,Lisle 6,8,1,37,3,13,0,11,45
dupage,Downers Grove 37,33,6,39,22,2,0,18,109
dupage,York 128,24,11,24,14,9,3,38,101
dupage,Downers Grove 120,14,8,33,5,5,6,11,59
dupage,York 62,26,17,30,6,3,2,9,43
dupage,York 64,22,14,34,2,1,0,11,78
dupage,Lisle 77,10,4,26,3,12,2,18,45
dupage,Downers Grove 130,34,15,19,2,4,2,11,47
dupage,Downers Grove 131,31,11,31,11,5,4,24,72
dupage,Downers Grove 132,2,1,2,0,1,1,0,283
dupage,Lisle 78,18,8,15,1,18,1,28,56
dupage,York 86,30,8,20,7,3,4,17,57
dupage,Lisle 116,20,8,18,1,22,0,34,68
dupage,Lisle 117,6,3,6,1,10,0,9,62
dupage,Lisle 114,20,7,20,5,6,3,7,14
dupage,Lisle 115,18,5,26,1,31,3,24,90
dupage,Lisle 112,18,8,33,2,23,1,14,34
dupage,Lisle 111,23,14,28,6,11,3,13,44
dupage,Wayne 37,17,9,32,3,1,1,13,162
dupage,Wayne 36,7,7,8,5,2,1,5,53
dupage,Wayne 35,13,3,10,3,2,0,8,59
dupage,Wayne 33,20,11,12,5,3,8,14,73
dupage,Wayne 32,16,15,18,7,1,4,11,83
dupage,Wayne 30,34,17,25,7,5,4,19,91
dupage,Downers Grove 38,13,4,23,19,9,1,16,75
dupage,Wayne 39,22,12,23,12,8,1,13,104
dupage,Lisle 9,19,10,17,4,6,2,9,51
dupage,Winfield 38,22,8,28,3,7,3,15,114
dupage,Winfield 39,32,7,20,3,5,5,18,110
dupage,Winfield 37,12,14,17,2,0,2,7,68
dupage,Winfield 30,24,6,19,3,8,3,14,84
dupage,Downers Grove 141,16,6,23,5,3,2,1,46
dupage,Downers Grove 140,25,7,42,3,7,2,10,79
dupage,Milton 79,16,11,25,2,4,1,17,102
dupage,Milton 78,16,10,34,2,4,1,15,45
dupage,Downers Grove 145,32,13,45,8,11,2,15,77
dupage,Downers Grove 147,8,3,14,7,6,1,16,53
dupage,Downers Grove 33,28,8,37,7,8,5,8,54
dupage,Milton 73,22,23,20,9,7,7,22,66
dupage,Downers Grove 148,14,8,44,1,2,1,5,63
dupage,Naperville 61,17,8,19,1,17,1,40,155
dupage,Milton 77,21,5,13,4,0,1,23,106
dupage,Milton 76,30,23,44,9,9,3,20,82
dupage,Milton 75,20,10,37,3,5,2,27,143
dupage,Milton 74,24,12,37,0,7,4,19,123
dupage,Downers Grove 31,30,13,49,7,9,2,20,87
dupage,Downers Grove 36,21,3,144,2,11,0,18,137
dupage,Lisle 7,22,10,18,2,6,2,15,75
dupage,Downers Grove 34,37,9,97,6,18,1,24,95
dupage,Bloomingdale 80,14,7,13,2,5,4,8,69
dupage,Bloomingdale 89,12,7,14,1,3,5,17,77
dupage,Bloomingdale 18,35,13,23,3,2,3,11,59
dupage,Downers Grove 98,25,8,47,5,4,2,5,95
dupage,Downers Grove 94,32,11,68,9,16,1,20,100
dupage,Downers Grove 96,28,8,78,4,13,2,19,60
