Precinct,Registered Voters,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,
Lisle 7,635,22,10,18,2,6,2,15,
Lisle 8,825,31,11,62,4,12,4,14,
Lisle 9,783,19,10,17,4,6,2,9,
Lisle 11,655,15,11,31,1,25,0,36,
Lisle 14,469,11,3,16,1,12,1,10,
Lisle 16,645,20,10,26,5,7,2,16,
Lisle 22,741,17,5,74,1,18,1,16,
Lisle 25,615,16,1,18,4,15,2,26,
Lisle 31,739,17,12,27,2,37,2,37,
Lisle 32,780,18,2,27,4,7,2,19,
Lisle 37,720,18,7,22,1,31,1,18,
Lisle 38,799,28,13,38,1,22,5,15,
Lisle 40,701,28,6,85,3,10,3,15,
Lisle 43,615,12,5,32,4,13,1,25,
Lisle 44,624,14,8,25,1,9,4,31,
Lisle 52,713,22,8,25,3,14,4,30,
Lisle 55,530,16,7,25,1,16,3,21,
Lisle 56,558,28,15,36,3,7,3,12,
Lisle 59,867,27,19,42,3,18,1,28,
Lisle 61,426,12,5,20,2,13,2,7,
Lisle 68,370,9,5,15,1,18,0,16,
Lisle 77,680,10,4,26,3,12,2,18,
Lisle 78,570,18,8,15,1,18,1,28,
Lisle 80,636,16,10,18,4,5,3,11,
Lisle 81,678,14,5,19,2,14,4,25,
Lisle 83,577,15,13,12,1,15,2,12,
Lisle 88,546,6,8,66,2,7,3,13,
Lisle 89,793,29,14,33,7,11,5,18,
Lisle 91,796,36,11,26,8,29,2,19,
Lisle 92,510,13,5,18,6,15,1,8,
Lisle 95,645,11,2,8,1,17,2,21,
Lisle 100,573,9,7,36,1,17,2,34,
Lisle 101,753,16,10,30,4,8,0,15,
Lisle 104,667,9,3,16,1,24,1,22,
Lisle 106,424,13,6,16,1,9,2,11,
Lisle 107,608,12,3,28,3,13,2,11,
Lisle 111,873,23,14,28,6,11,3,13,
Lisle 112,623,18,8,33,2,23,1,14,
Lisle 114,762,20,7,20,5,6,3,7,
Lisle 115,714,18,5,26,1,31,3,24,
Lisle 116,609,20,8,18,1,22,0,34,
Lisle 117,433,6,3,6,1,10,0,9,
Lisle 126,474,9,3,9,2,10,0,18,
Downers Grove 2,729,18,8,120,2,7,2,10,
Downers Grove 3,858,21,8,100,6,9,3,23,
Downers Grove 6,677,14,3,49,0,0,0,13,
Downers Grove 7,876,14,9,40,3,4,1,22,
Downers Grove 8,917,31,21,84,9,12,2,24,
Downers Grove 9,683,19,6,106,2,14,1,18,
Downers Grove 10,897,29,11,70,10,17,3,12,
Downers Grove 11,872,31,10,60,11,3,2,18,
Downers Grove 12,657,24,8,60,4,11,3,15,
Downers Grove 14,929,29,16,38,5,12,2,19,
Downers Grove 15,645,19,16,32,11,5,4,21,
Downers Grove 16,616,8,2,54,1,1,1,1,
Downers Grove 17,752,15,4,141,0,7,2,16,
Downers Grove 18,902,24,10,77,6,27,3,18,
Downers Grove 19,638,18,5,19,5,3,2,8,
Downers Grove 20,595,32,15,70,2,13,0,11,
Downers Grove 21,779,36,5,58,14,5,2,20,
Downers Grove 26,785,40,23,95,4,11,2,11,
Downers Grove 27,524,19,10,26,3,6,0,8,
Downers Grove 28,576,18,2,46,3,4,1,7,
Downers Grove 29,886,43,13,44,5,6,6,24,
Downers Grove 30,641,24,12,56,5,10,1,9,
Downers Grove 31,894,30,13,49,7,9,2,20,
Downers Grove 32,677,19,7,23,8,11,3,11,
Downers Grove 33,704,28,8,37,7,8,5,8,
Downers Grove 34,792,37,9,97,6,18,1,24,
Downers Grove 36,923,21,3,144,2,11,0,18,
Downers Grove 37,905,33,6,39,22,2,0,18,
Downers Grove 38,763,13,4,23,19,9,1,16,
Downers Grove 39,807,31,18,42,6,15,8,13,
Downers Grove 44,693,21,5,26,5,5,2,11,
Downers Grove 45,539,25,10,52,4,7,3,7,
Downers Grove 47,447,10,7,36,3,6,2,8,
Downers Grove 48,572,18,3,30,3,11,1,19,
Downers Grove 49,819,22,8,85,3,13,1,15,
Downers Grove 50,875,21,14,94,5,18,3,31,
Downers Grove 51,736,15,12,108,6,11,4,22,
Downers Grove 52,652,24,11,55,2,9,1,20,
Downers Grove 53,715,24,8,66,1,18,4,26,
Downers Grove 54,520,27,8,45,2,5,1,13,
Downers Grove 55,614,7,6,50,5,2,0,11,
Downers Grove 56,516,19,12,26,3,6,2,11,
Downers Grove 57,687,34,12,33,3,5,8,14,
Downers Grove 59,753,54,26,82,9,5,6,52,
Downers Grove 61,903,31,11,43,17,2,2,19,
Downers Grove 63,615,23,12,29,6,12,1,9,
Downers Grove 64,762,27,11,56,4,6,1,13,
Downers Grove 65,803,18,10,61,1,20,2,21,
Downers Grove 66,659,16,8,15,4,4,1,18,
Downers Grove 67,495,23,7,13,2,3,5,13,
Downers Grove 69,639,22,4,19,6,4,5,14,
Downers Grove 70,530,29,10,24,3,2,2,20,
Downers Grove 71,857,30,18,25,6,5,7,6,
Downers Grove 73,585,21,5,35,0,5,0,6,
Downers Grove 74,720,23,18,21,2,4,4,12,
Downers Grove 75,546,16,8,66,3,8,2,14,
Downers Grove 76,850,21,8,22,3,4,3,11,
Downers Grove 78,613,19,16,23,4,9,5,8,
Downers Grove 79,596,20,10,39,3,4,4,12,
Downers Grove 82,952,31,8,55,7,3,1,20,
Downers Grove 83,929,5,2,3,0,1,1,5,
Downers Grove 84,790,22,4,63,11,3,4,13,
Downers Grove 85,662,19,8,33,7,4,0,11,
