County,Precinct,Leslie Coolidge,Peter J. Roskam
dupage,Downers Grove 011,245,388
dupage,Naperville 016,206,493
dupage,Downers Grove 059,225,331
dupage,Milton 108,217,338
dupage,York 130,128,239
dupage,York 030,94,288
dupage,Downers Grove 027,116,220
dupage,Milton 049,132,287
dupage,Milton 048,187,239
dupage,Milton 047,237,251
dupage,Milton 046,207,313
dupage,Milton 045,191,292
dupage,Milton 044,204,246
dupage,Milton 043,192,364
dupage,Milton 042,186,200
dupage,Milton 041,209,209
dupage,Milton 040,195,284
dupage,Downers Grove 119,249,460
dupage,Downers Grove 039,158,210
dupage,Downers Grove 038,151,356
dupage,Downers Grove 034,322,280
dupage,Downers Grove 037,232,426
dupage,Downers Grove 036,241,370
dupage,Downers Grove 031,243,254
dupage,Downers Grove 019,183,152
dupage,Downers Grove 033,486,432
dupage,Downers Grove 032,166,301
dupage,Winfield 002,229,333
dupage,Naperville 026,269,396
dupage,Winfield 001,240,217
dupage,Winfield 006,140,298
dupage,Winfield 007,162,427
dupage,Winfield 004,214,373
dupage,Winfield 005,197,230
dupage,Lisle 016,301,343
dupage,Winfield 008,141,197
dupage,Winfield 009,283,110
dupage,Milton 098,155,289
dupage,Lisle 025,230,252
dupage,Downers Grove 073,198,244
dupage,Downers Grove 078,172,238
dupage,Wayne 042,363,372
dupage,Wayne 040,309,439
dupage,York 062,413,423
dupage,Downers Grove 009,229,203
dupage,Downers Grove 115,208,273
dupage,Lisle 040,218,246
dupage,York 021,110,151
dupage,Lisle 043,261,604
dupage,Lisle 044,180,240
dupage,York 026,298,337
dupage,Downers Grove 055,114,289
dupage,Downers Grove 106,204,272
dupage,York 114,246,320
dupage,Downers Grove 030,189,215
dupage,Milton 038,313,300
dupage,Milton 039,198,484
dupage,Downers Grove 028,117,291
dupage,Downers Grove 029,244,349
dupage,Milton 032,206,402
dupage,Milton 033,170,255
dupage,Milton 030,218,354
dupage,Milton 031,262,356
dupage,Milton 036,226,260
dupage,Milton 037,115,320
dupage,Milton 034,184,253
dupage,Milton 035,159,248
dupage,Downers Grove 012,226,250
dupage,Naperville 031,255,271
dupage,Downers Grove 010,285,217
dupage,Downers Grove 017,265,289
dupage,Downers Grove 016,124,277
dupage,Downers Grove 015,167,219
dupage,Downers Grove 014,279,330
dupage,Winfield 013,194,131
dupage,Bloomingdale 045,71,323
dupage,Downers Grove 018,285,288
dupage,Bloomingdale 043,166,212
dupage,York 106,80,341
dupage,Downers Grove 113,403,357
dupage,Downers Grove 098,154,329
dupage,York 128,324,444
dupage,Downers Grove 083,164,418
dupage,Downers Grove 092,346,439
dupage,Bloomingdale 058,370,473
dupage,Downers Grove 097,196,291
dupage,Downers Grove 096,249,167
dupage,Downers Grove 094,359,329
dupage,Downers Grove 103,166,214
dupage,Lisle 037,223,302
dupage,Downers Grove 053,287,323
dupage,Lisle 031,208,324
dupage,Naperville 022,262,374
dupage,Winfield 012,274,313
dupage,Lisle 038,248,195
dupage,York 018,313,401
dupage,Milton 029,155,200
dupage,Milton 028,116,349
dupage,Lisle 001,135,117
dupage,Downers Grove 063,453,346
dupage,Milton 021,212,222
dupage,Milton 020,183,302
dupage,Milton 023,183,352
dupage,Milton 022,132,212
dupage,Milton 025,158,485
dupage,Milton 024,153,186
dupage,Milton 027,200,259
dupage,Milton 026,427,392
dupage,Downers Grove 075,243,271
dupage,Downers Grove 006,150,314
dupage,Downers Grove 007,170,453
dupage,Downers Grove 002,233,272
dupage,Lisle 078,527,618
dupage,Downers Grove 008,349,375
dupage,York 111,354,375
dupage,York 009,213,220
dupage,Winfield 015,200,239
dupage,Winfield 014,248,373
dupage,Downers Grove 084,168,333
dupage,Downers Grove 085,139,307
dupage,York 003,116,261
dupage,Downers Grove 087,409,564
dupage,Winfield 017,182,214
dupage,Downers Grove 082,161,307
dupage,Downers Grove 051,240,271
dupage,Milton 094,161,225
dupage,Wayne 028,268,307
dupage,Milton 096,170,229
