Precinct,Registered Voters,Leslie Coolidge,Peter J. Roskam
Naperville 016,923,206,493,
Naperville 019,800,234,324,
Naperville 022,884,262,374,
Naperville 026,891,269,396,
Naperville 031,751,255,271,
Naperville 061,620,148,321,
Lisle 001,366,135,117,
Lisle 003,1087,311,510,
Lisle 004,710,237,254,
Lisle 006,490,157,187,
Lisle 007,380,101,164,
Lisle 008,707,275,200,
Lisle 009,620,201,226,
Lisle 011,784,236,362,
Lisle 014,947,204,531,
Lisle 016,930,301,343,
Lisle 022,692,199,337,
Lisle 025,722,230,252,
Lisle 031,673,208,324,
Lisle 032,640,204,222,
Lisle 037,720,223,302,
Lisle 038,673,248,195,
Lisle 040,600,218,246,
Lisle 043,1151,261,604,
Lisle 044,587,180,240,
Lisle 052,1091,323,441,
Lisle 055,478,163,210,
Lisle 056,1106,333,453,
Lisle 059,816,264,331,
Lisle 061,1144,426,335,
Lisle 068,802,193,408,
Lisle 077,1229,487,332,
Lisle 078,1696,527,618,
Lisle 080,510,159,191,
Lisle 081,649,148,327,
Lisle 083,757,204,299,
Lisle 088,569,197,202,
Lisle 089,843,268,284,
Lisle 091,742,251,296,
Lisle 092,409,129,129,
Lisle 095,603,141,321,
Downers Grove 002,646,233,272,
Downers Grove 003,581,177,248,
Downers Grove 006,607,150,314,
Downers Grove 007,805,170,453,
Downers Grove 008,939,349,375,
Downers Grove 009,593,229,203,
Downers Grove 010,750,285,217,
Downers Grove 011,824,245,388,
Downers Grove 012,614,226,250,
Downers Grove 014,851,279,330,
Downers Grove 015,585,167,219,
Downers Grove 016,537,124,277,
Downers Grove 017,722,265,289,
Downers Grove 018,799,285,288,
Downers Grove 019,558,183,152,
Downers Grove 020,870,335,334,
Downers Grove 021,682,202,326,
Downers Grove 026,724,266,281,
Downers Grove 027,484,116,220,
Downers Grove 028,545,117,291,
Downers Grove 029,823,244,349,
Downers Grove 030,580,189,215,
Downers Grove 031,706,243,254,
Downers Grove 032,564,166,301,
Downers Grove 033,1312,486,432,
Downers Grove 034,831,322,280,
Downers Grove 036,810,241,370,
Downers Grove 037,840,232,426,
Downers Grove 038,656,151,356,
Downers Grove 039,555,158,210,
Downers Grove 044,627,163,285,
Downers Grove 045,655,207,282,
Downers Grove 047,383,113,159,
Downers Grove 048,545,166,219,
Downers Grove 049,724,254,285,
Downers Grove 050,730,258,293,
Downers Grove 051,700,240,271,
Downers Grove 052,797,272,298,
Downers Grove 053,788,287,323,
