County,Precinct,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,Peter J. Roskam
dupage,Downers Grove 51,6,7,13,131
dupage,Milton 1,23,4,4,93
dupage,Downers Grove 127,15,5,7,91
dupage,Milton 3,19,4,9,212
dupage,Milton 2,14,3,13,125
dupage,Milton 5,24,9,8,120
dupage,Milton 4,11,2,6,154
dupage,Milton 7,9,3,4,97
dupage,Milton 6,20,4,6,111
dupage,Bloomingdale 68,24,26,15,141
dupage,York 111,29,4,19,107
dupage,York 114,24,1,18,151
dupage,Naperville 31,16,5,24,93
dupage,York 119,6,2,3,122
dupage,York 18,39,6,13,159
dupage,Lisle 44,12,2,9,103
dupage,Lisle 25,17,1,12,101
dupage,Milton 108,11,4,7,142
dupage,Milton 109,12,1,3,156
dupage,Downers Grove 94,25,6,18,124
dupage,Downers Grove 118,16,6,11,57
dupage,Lisle 22,11,5,11,154
dupage,Milton 102,18,5,8,303
dupage,York 74,34,16,17,171
dupage,Milton 100,17,3,1,216
dupage,Downers Grove 57,23,1,1,98
dupage,Milton 106,14,5,3,249
dupage,Milton 107,12,2,3,157
dupage,Milton 104,11,3,10,74
dupage,Milton 105,18,0,9,80
dupage,Milton 46,12,4,9,146
dupage,Milton 47,15,3,9,93
dupage,Milton 44,25,2,8,117
dupage,Milton 45,19,4,8,138
dupage,Milton 42,13,2,8,77
dupage,Milton 43,21,0,7,165
dupage,Milton 40,15,3,11,127
dupage,Milton 41,28,1,16,96
dupage,Downers Grove 48,10,1,11,80
dupage,Milton 48,11,2,6,98
dupage,Milton 49,6,3,6,95
dupage,York 97,17,5,19,179
dupage,Downers Grove 105,17,8,13,83
dupage,York 95,10,6,7,77
dupage,York 93,24,3,10,104
dupage,Downers Grove 115,20,3,13,134
dupage,Downers Grove 121,8,3,8,146
dupage,Naperville 61,10,2,9,167
dupage,Downers Grove 39,12,6,8,97
dupage,Lisle 8,23,5,16,78
dupage,Lisle 9,14,1,4,87
dupage,York 122,6,2,4,82
dupage,York 121,37,11,38,160
dupage,Downers Grove 32,18,1,18,145
dupage,Lisle 3,27,2,15,207
dupage,Downers Grove 30,11,6,8,75
dupage,Lisle 1,5,3,5,49
dupage,Lisle 6,9,3,7,70
dupage,Bloomingdale 58,31,15,14,187
dupage,York 128,38,9,31,222
dupage,Downers Grove 120,27,3,8,138
dupage,York 62,15,6,14,146
dupage,York 64,7,1,4,63
dupage,Naperville 16,11,1,14,274
dupage,Wayne 25,30,8,17,109
dupage,Wayne 26,11,4,3,76
dupage,Wayne 20,21,5,12,107
dupage,Wayne 21,29,13,17,170
dupage,Wayne 22,15,3,11,135
dupage,Wayne 23,26,4,8,129
dupage,Downers Grove 21,35,5,27,200
dupage,Lisle 80,5,2,3,72
dupage,Wayne 28,21,7,17,128
dupage,Lisle 52,13,9,12,184
dupage,Lisle 78,37,8,17,254
dupage,Downers Grove 20,25,4,14,177
dupage,Downers Grove 59,20,3,12,142
dupage,York 86,17,5,9,121
dupage,Lisle 61,16,2,12,161
dupage,Downers Grove 36,28,5,7,186
dupage,Downers Grove 54,33,6,10,199
dupage,Lisle 77,12,2,11,168
dupage,York 130,15,0,7,124
dupage,Downers Grove 52,25,5,10,173
dupage,Downers Grove 53,28,2,10,173
dupage,Bloomingdale 9,31,6,18,136
dupage,Downers Grove 55,10,0,5,122
dupage,Downers Grove 56,9,3,15,67
dupage,Lisle 55,9,8,9,93
dupage,Bloomingdale 43,10,2,16,94
dupage,Downers Grove 29,7,2,8,157
dupage,Downers Grove 28,9,2,3,132
dupage,Bloomingdale 45,11,2,6,216
dupage,Downers Grove 2,12,5,14,155
dupage,Downers Grove 27,11,1,8,84
dupage,Downers Grove 26,18,5,13,140
dupage,Winfield 23,12,7,16,139
dupage,Winfield 22,29,8,16,193
dupage,Winfield 21,40,6,40,228
dupage,Winfield 20,10,3,16,155
dupage,Downers Grove 34,26,6,12,131
dupage,Downers Grove 119,11,8,17,195
dupage,Milton 88,18,4,18,133
dupage,Downers Grove 87,38,5,35,268
dupage,Milton 86,12,2,5,117
dupage,Downers Grove 12,18,4,8,151
dupage,York 56,17,4,16,118
dupage,Wayne 37,19,8,21,244
dupage,Wayne 36,12,8,15,144
dupage,Wayne 35,6,3,10,149
dupage,Wayne 33,7,4,13,86
dupage,Wayne 32,6,4,10,117
dupage,Wayne 30,20,10,10,134
dupage,Milton 59,7,2,4,124
dupage,Naperville 15,22,11,16,68
dupage,Downers Grove 38,18,5,17,225
dupage,Wayne 39,17,7,13,135
dupage,Winfield 4,41,10,25,202
dupage,Winfield 5,16,8,7,138
dupage,Winfield 6,14,3,12,162
dupage,Winfield 7,23,1,12,211
dupage,Winfield 1,29,5,16,127
dupage,Winfield 2,23,1,19,149
dupage,Downers Grove 112,14,7,11,104
dupage,Winfield 8,7,7,15,100
dupage,Winfield 9,19,6,11,61
dupage,Downers Grove 45,14,2,8,168
dupage,Downers Grove 44,7,1,3,143
dupage,Naperville 19,15,1,14,132
dupage,Lisle 7,3,1,4,67
dupage,Winfield 37,19,7,14,109
dupage,Winfield 30,21,9,18,238
dupage,Downers Grove 15,12,0,8,99
dupage,Milton 79,21,3,6,163
dupage,Milton 78,12,7,3,70
dupage,Downers Grove 33,20,6,19,179
dupage,Milton 73,18,5,7,205
dupage,Milton 71,23,2,11,168
dupage,Milton 77,7,2,1,118
dupage,Milton 76,16,4,9,127
dupage,Milton 75,4,1,7,157
dupage,Milton 74,8,0,12,173
dupage,Milton 19,20,1,3,207
dupage,Milton 18,25,2,22,259
dupage,Downers Grove 31,24,8,12,122
dupage,Downers Grove 78,12,1,5,109
dupage,Milton 11,26,2,6,106
dupage,Milton 10,21,2,9,122
dupage,Milton 13,21,5,6,128
dupage,Milton 12,16,3,3,87
dupage,Milton 15,19,1,4,143
dupage,Milton 14,26,2,5,146
dupage,Milton 17,16,2,3,222
dupage,Milton 16,11,3,12,147
dupage,Lisle 95,5,4,9,155
dupage,Lisle 4,10,11,12,102
dupage,Lisle 92,5,1,2,35
dupage,Downers Grove 79,24,1,10,231
dupage,Downers Grove 76,9,3,12,62
dupage,Downers Grove 74,17,2,11,139
dupage,Downers Grove 75,17,1,13,131
dupage,Downers Grove 73,14,2,12,91
dupage,Downers Grove 70,20,6,19,215
dupage,Downers Grove 71,19,5,13,87
dupage,York 26,30,6,13,166
dupage,York 9,16,2,14,74
dupage,Downers Grove 14,23,4,8,159
dupage,York 3,4,0,3,108
dupage,Lisle 68,15,7,16,192
dupage,Milton 68,19,3,10,128
dupage,Milton 69,19,3,10,118
dupage,York 30,4,1,5,110
dupage,Milton 64,25,4,13,92
dupage,Milton 65,16,0,2,140
dupage,Milton 66,25,6,18,147
dupage,Milton 67,21,2,7,141
dupage,Milton 60,14,6,9,168
dupage,Milton 61,13,5,9,238
dupage,Milton 62,34,3,13,125
dupage,Milton 63,10,5,12,163
