County,Precinct,Amanda Howland,Amanda Howland Percent,Peter J. Roskam,Peter J. Roskam Percent,Total
DuPage,Downers Grove 142,163,49.39,167,50.61,330
DuPage,Lisle 001,269,57.23,201,42.77,470
DuPage,Lisle 003,168,36.92,287,63.08,455
DuPage,Lisle 004,274,47.32,305,52.68,579
DuPage,Lisle 006,137,41.77,191,58.23,328
DuPage,Lisle 007,106,36.43,185,63.57,291
DuPage,Lisle 008,265,53.21,233,46.79,498
DuPage,Lisle 009,224,46.19,261,53.81,485
DuPage,Lisle 011,253,40.87,366,59.13,619
DuPage,Lisle 014,196,29.25,474,70.75,670
DuPage,Lisle 016,166,41.29,236,58.71,402
DuPage,Lisle 022,206,37.25,347,62.75,553
DuPage,Lisle 025,240,45.54,287,54.46,527
DuPage,Lisle 031,222,40.36,328,59.64,550
DuPage,Lisle 032,288,54.55,240,45.45,528
DuPage,Lisle 037,213,38.31,343,61.69,556
DuPage,Lisle 038,295,58.07,213,41.93,508
DuPage,Lisle 040,232,48.74,244,51.26,476
DuPage,Lisle 043,167,35.91,298,64.09,465
DuPage,Lisle 044,177,41.16,253,58.84,430
DuPage,Lisle 052,224,45.44,269,54.56,493
DuPage,Lisle 055,172,43.32,225,56.68,397
DuPage,Lisle 056,202,50.50,198,49.50,400
DuPage,Lisle 059,275,43.93,351,56.07,626
DuPage,Lisle 061,261,51.28,248,48.72,509
DuPage,Lisle 068,197,32.89,402,67.11,599
DuPage,Lisle 077,167,54.93,137,45.07,304
DuPage,Lisle 078,267,39.44,410,60.56,677
DuPage,Lisle 080,202,47.64,222,52.36,424
DuPage,Lisle 081,171,35.77,307,64.23,478
DuPage,Lisle 083,231,42.23,316,57.77,547
DuPage,Lisle 088,184,50.69,179,49.31,363
DuPage,Lisle 089,292,51.59,274,48.41,566
DuPage,Lisle 091,245,41.18,350,58.82,595
DuPage,Lisle 092,159,52.30,145,47.70,304
DuPage,Lisle 095,162,33.82,317,66.18,479
DuPage,Lisle 100,170,40.28,252,59.72,422
DuPage,Lisle 101,217,50.35,214,49.65,431
DuPage,Lisle 104,129,27.22,345,72.78,474
DuPage,Lisle 106,128,43.10,169,56.90,297
DuPage,Lisle 107,174,41.04,250,58.96,424
DuPage,Lisle 111,391,57.84,285,42.16,676
DuPage,Lisle 112,330,55.93,260,44.07,590
DuPage,Lisle 114,188,57.67,138,42.33,326
DuPage,Milton 001,157,40.78,228,59.22,385
DuPage,Milton 002,250,42.59,337,57.41,587
DuPage,Milton 003,183,28.82,452,71.18,635
DuPage,Milton 004,156,26.99,422,73.01,578
DuPage,Milton 005,203,33.17,409,66.83,612
DuPage,Milton 006,203,43.19,267,56.81,470
DuPage,Milton 007,159,37.50,265,62.50,424
DuPage,Milton 008,196,38.13,318,61.87,514
DuPage,Milton 009,152,39.69,231,60.31,383
DuPage,Milton 010,215,42.83,287,57.17,502
DuPage,Milton 011,177,40.69,258,59.31,435
DuPage,Milton 012,186,44.29,234,55.71,420
DuPage,Milton 013,185,43.33,242,56.67,427
DuPage,Milton 014,162,35.29,297,64.71,459
DuPage,Milton 015,187,40.74,272,59.26,459
DuPage,Milton 016,190,36.12,336,63.88,526
DuPage,Milton 017,149,34.57,282,65.43,431
DuPage,Milton 018,188,29.33,453,70.67,641
DuPage,Milton 019,266,40.92,384,59.08,650
DuPage,Milton 020,274,38.32,441,61.68,715
DuPage,Milton 021,169,47.88,184,52.12,353
DuPage,Milton 022,170,39.17,264,60.83,434
DuPage,Milton 023,216,37.89,354,62.11,570
DuPage,Milton 024,212,45.89,250,54.11,462
DuPage,Milton 025,176,29.38,423,70.62,599
DuPage,Milton 026,342,53.11,302,46.89,644
DuPage,Milton 027,202,41.39,286,58.61,488
DuPage,Milton 028,185,29.09,451,70.91,636
DuPage,Milton 029,154,38.69,244,61.31,398
DuPage,Milton 030,167,39.86,252,60.14,419
DuPage,Milton 031,118,32.51,245,67.49,363
DuPage,Milton 032,238,36.01,423,63.99,661
DuPage,Milton 033,166,38.07,270,61.93,436
DuPage,Milton 034,243,47.46,269,52.54,512
DuPage,Milton 035,214,42.97,284,57.03,498
DuPage,Milton 036,238,45.95,280,54.05,518
DuPage,Milton 037,161,30.73,363,69.27,524
DuPage,Milton 038,273,49.64,277,50.36,550
DuPage,Milton 039,153,27.42,405,72.58,558
DuPage,Milton 040,252,42.42,342,57.58,594
DuPage,Milton 041,212,46.49,244,53.51,456
DuPage,Milton 042,188,47.72,206,52.28,394
DuPage,Milton 043,208,33.07,421,66.93,629
DuPage,Milton 044,161,42.04,222,57.96,383
DuPage,Milton 045,208,39.32,321,60.68,529
DuPage,Milton 046,213,41.36,302,58.64,515
DuPage,Milton 047,230,43.23,302,56.77,532
DuPage,Milton 048,189,42.38,257,57.62,446
DuPage,Milton 049,171,33.14,345,66.86,516
DuPage,Milton 050,204,40.88,295,59.12,499
DuPage,Milton 051,78,28.16,199,71.84,277
DuPage,Milton 052,207,41.40,293,58.60,500
DuPage,Milton 054,190,34.30,364,65.70,554
DuPage,Milton 055,202,36.93,345,63.07,547
DuPage,Milton 056,283,48.38,302,51.62,585
DuPage,Milton 057,204,32.03,433,67.97,637
DuPage,Milton 058,257,45.33,310,54.67,567
DuPage,Milton 059,172,35.10,318,64.90,490
DuPage,Milton 060,160,46.11,187,53.89,347
DuPage,Milton 061,129,28.23,328,71.77,457
DuPage,Milton 062,183,44.63,227,55.37,410
DuPage,Milton 063,214,43.23,281,56.77,495
DuPage,Milton 064,210,45.45,252,54.55,462
DuPage,Milton 065,210,34.88,392,65.12,602
DuPage,Milton 066,242,44.73,299,55.27,541
DuPage,Milton 067,169,42.68,227,57.32,396
DuPage,Milton 068,214,46.12,250,53.88,464
DuPage,Milton 069,222,49.78,224,50.22,446
DuPage,Milton 071,157,35.04,291,64.96,448
DuPage,Milton 073,209,46.44,241,53.56,450
DuPage,Milton 074,162,31.21,357,68.79,519
DuPage,Milton 075,160,29.74,378,70.26,538
DuPage,Milton 076,222,44.40,278,55.60,500
DuPage,Milton 077,135,29.80,318,70.20,453
DuPage,Milton 078,264,49.35,271,50.65,535
DuPage,Milton 079,204,35.66,368,64.34,572
DuPage,Milton 080,271,54.09,230,45.91,501
DuPage,Milton 081,143,42.06,197,57.94,340
DuPage,Milton 082,126,31.27,277,68.73,403
DuPage,Milton 083,211,41.70,295,58.30,506
DuPage,Milton 084,192,32.16,405,67.84,597
DuPage,Milton 085,191,32.65,394,67.35,585
DuPage,Milton 086,249,55.21,202,44.79,451
DuPage,Milton 087,118,22.69,402,77.31,520
DuPage,Milton 088,232,42.88,309,57.12,541
DuPage,Milton 089,216,45.19,262,54.81,478
DuPage,Milton 090,228,32.85,466,67.15,694
