PrecinctName,HILLARY CLINTON,BERNIE SANDERS,WILLIE L_ WILSON,MARTIN J_ O'MALLEY,LARRY COHEN,ROQUE ROCKY DE LA FUENTE,DAVID FORMHALS,BRIAN O'NEILL w-in,DONALD J_ TRUMP,TED CRUZ,JOHN R_ KASICH,MARCO RUBIO,BEN CARSON,JEB BUSH,RAND PAUL,CHRIS CHRISTIE,MIKE HUCKABEE,CARLY FIORINA,RICK SANTORUM,JOANN BREIVOGEL,Total
Naperville 56,108,101,1,0,0,0,0,0,29,25,19,17,0,0,0,0,0,0,0,0,300
Naperville 57,110,125,0,0,0,0,0,0,55,52,35,15,0,1,0,2,0,0,0,0,395
Naperville 54,118,118,0,0,0,0,0,0,47,52,59,24,1,1,0,1,0,0,1,0,422
Naperville 55,85,55,0,0,0,0,0,0,55,32,64,13,0,0,0,0,0,0,0,0,304
Naperville 52,63,83,0,0,0,0,0,0,22,20,6,8,2,2,0,0,1,2,0,0,209
Naperville 53,105,121,0,0,0,0,0,0,42,55,49,17,0,1,0,1,0,0,0,0,391
Naperville 50,82,102,0,0,0,0,0,0,47,43,42,22,1,3,1,0,0,0,1,0,344
Naperville 51,78,112,0,0,0,0,0,0,47,44,43,18,2,1,0,2,0,0,0,0,347
Libertyville 201,59,61,0,0,1,0,0,0,74,39,45,18,1,3,0,0,0,0,0,0,301
Libertyville 200,92,57,0,0,0,1,0,0,46,23,37,6,0,0,1,0,0,1,0,0,264
Zion 408,113,110,0,0,0,0,0,0,18,20,7,10,4,0,0,0,0,0,0,0,282
Zion 409,222,146,0,0,0,0,0,0,34,31,7,3,1,0,0,0,1,0,1,0,446
Addison 62,54,85,0,0,0,0,0,0,72,38,44,10,1,0,1,1,0,1,0,0,307
Addison 63,62,90,0,0,0,0,0,0,61,23,18,11,0,0,0,0,0,0,0,0,265
Addison 60,51,36,0,0,0,0,0,0,90,32,19,14,0,2,0,0,0,0,0,0,244
Addison 61,54,34,0,0,0,0,0,0,65,33,27,4,0,1,0,0,0,1,0,0,219
Zion 403,151,108,1,0,0,0,0,0,50,42,6,11,0,1,1,0,2,0,0,0,373
Bloomingdale 24,108,151,0,1,0,0,0,0,92,70,44,25,3,2,2,2,0,0,0,0,500
Bloomingdale 25,66,99,0,0,0,0,0,0,33,22,11,7,0,2,0,1,0,0,0,0,241
Bloomingdale 26,85,62,0,0,0,0,0,0,55,41,23,7,0,0,0,0,0,0,0,0,273
Bloomingdale 27,71,94,0,0,0,0,0,0,56,25,18,11,1,0,1,0,0,0,0,0,277
Bloomingdale 20,89,100,0,0,1,0,0,0,109,63,68,23,2,4,2,1,1,0,0,0,463
Bloomingdale 21,51,107,0,2,1,1,0,0,73,53,36,17,1,3,2,1,1,0,0,0,349
Bloomingdale 22,81,77,0,0,0,0,0,0,40,15,10,5,0,0,1,0,1,0,0,0,230
Bloomingdale 23,49,47,1,0,0,0,0,0,15,13,10,5,0,1,0,0,0,0,1,0,142
Bloomingdale 28,58,68,0,0,0,0,0,0,35,27,14,3,1,0,0,0,0,0,1,0,207
Bloomingdale 29,57,50,1,0,0,0,0,0,113,44,30,18,0,2,0,1,0,0,0,0,316
Moraine 215,327,152,1,0,1,0,0,0,49,24,38,22,1,0,1,0,0,0,0,0,616
Moraine 214,319,135,0,2,1,0,0,0,43,28,84,36,0,0,0,1,0,0,0,0,649
Moraine 217,375,175,0,2,0,0,0,0,50,18,105,32,2,0,0,0,0,0,0,0,759
Moraine 216,297,136,0,1,0,0,0,0,30,22,62,21,1,3,1,0,0,0,0,0,574
SC0008,114,99,0,0,0,0,0,0,104,73,123,36,5,1,0,0,0,1,0,0,556
SC0009,69,74,0,0,0,0,0,0,65,36,60,27,3,1,1,0,0,2,1,0,339
Moraine 213,284,159,0,2,0,0,0,0,62,33,60,24,1,1,2,1,0,0,0,0,629
Moraine 212,312,131,0,0,1,0,0,0,58,22,74,33,0,1,0,0,0,0,0,0,632
SC0004,37,81,0,0,0,0,0,0,34,18,24,9,0,0,0,0,0,0,0,0,203
SC0005,91,137,0,0,0,0,0,0,85,57,64,20,2,1,0,0,0,0,0,0,457
SC0006,64,123,0,0,0,1,0,0,82,91,56,31,6,1,3,0,1,0,1,0,460
SC0007,49,49,0,0,0,0,0,0,143,59,89,37,1,2,2,0,0,0,0,0,431
Moraine 219,316,121,0,2,0,1,0,0,62,18,75,22,1,0,0,0,0,0,1,0,619
SC0001,46,66,0,0,0,0,0,0,84,39,81,16,2,1,0,0,0,0,2,0,337
SC0002,71,88,0,0,0,0,0,0,81,73,90,26,0,4,1,0,0,0,0,0,434
SC0003,76,123,0,0,0,0,0,0,112,71,80,35,1,0,3,1,1,0,1,0,504
Libertyville 202,22,8,0,0,0,0,0,0,17,2,29,6,0,0,0,0,0,0,0,0,84
8700019,112,86,0,0,0,0,0,0,94,61,89,28,2,0,1,0,0,1,0,0,474
8700018,65,97,0,1,0,0,0,0,40,41,46,20,0,0,0,1,0,0,0,0,311
8700015,120,123,0,0,0,0,0,0,84,55,63,18,0,0,1,0,0,0,0,0,464
8700014,124,86,0,0,0,0,0,0,48,56,50,16,0,0,1,0,0,0,0,0,381
8700017,110,114,0,0,0,0,0,0,76,63,65,16,1,0,1,0,0,0,0,0,446
8700016,88,137,0,0,0,1,0,0,58,26,10,6,2,1,0,1,0,0,1,0,331
8700011,93,110,0,0,0,0,0,0,76,34,42,20,1,3,0,1,0,0,0,0,380
8700010,87,74,0,0,0,0,0,0,127,75,154,39,1,0,0,1,0,0,0,0,558
8700013,89,156,0,2,0,0,0,0,70,55,39,14,1,0,1,0,0,0,0,0,427
8700012,102,39,0,1,0,0,0,0,104,46,86,31,2,1,0,2,0,0,0,0,414
Algonquin 68,96,104,1,0,0,0,0,0,149,83,81,32,3,3,0,2,1,0,0,0,555
Algonquin 60,37,57,0,0,0,0,0,0,52,38,26,10,2,0,0,0,0,0,0,0,222
Algonquin 61,31,80,0,0,0,0,0,0,75,34,30,21,1,1,0,1,0,0,1,0,275
Algonquin 62,73,110,0,0,0,0,0,0,112,74,61,34,2,0,0,2,0,2,0,0,470
Algonquin 63,112,131,0,1,0,0,0,0,115,66,57,33,1,1,2,0,0,0,0,0,519
Algonquin 64,47,74,0,0,1,0,0,0,61,36,44,16,1,0,0,0,1,1,0,0,282
Algonquin 65,75,83,0,0,0,0,0,0,142,97,139,44,1,4,1,2,1,0,0,0,589
Algonquin 66,68,67,0,0,1,0,0,0,79,42,49,29,2,0,1,0,0,0,0,0,338
Algonquin 67,51,84,0,0,0,0,0,0,101,80,78,28,1,0,2,0,0,0,0,0,425
Antioch 9,82,124,0,0,0,1,0,0,107,86,49,28,2,3,2,0,0,0,0,0,484
Antioch 8,57,110,0,0,0,0,0,0,102,64,47,38,5,1,0,1,0,0,1,0,426
Antioch 3,89,106,0,0,1,0,0,0,118,85,38,28,0,0,1,0,1,0,0,0,467
Antioch 2,109,111,0,0,0,0,0,0,142,63,35,17,0,2,0,0,0,1,0,0,480
Antioch 1,89,111,0,0,0,0,0,0,165,47,37,18,2,0,2,0,1,0,0,0,472
Antioch 7,71,110,1,1,0,0,0,0,106,55,55,24,2,1,0,0,1,0,0,0,427
Antioch 6,68,105,0,0,0,0,0,0,108,41,41,22,4,3,2,0,1,0,0,0,395
Antioch 5,84,128,0,0,0,0,0,0,110,44,29,17,4,5,2,0,0,2,0,0,425
Antioch 4,72,95,0,0,0,0,0,0,118,69,69,31,0,4,0,1,1,1,0,0,461
Zion 404,108,87,1,0,0,0,0,0,45,45,18,7,2,0,2,0,0,0,0,0,315
Zion 405,122,116,2,0,0,1,0,0,49,23,9,10,3,0,0,0,0,0,0,0,335
Zion 406,140,85,0,0,0,0,0,0,55,59,33,15,2,0,2,0,0,0,0,0,391
Lisle 8,82,104,0,0,0,0,0,0,54,35,34,13,0,0,2,0,0,0,2,0,326
Lisle 9,71,58,0,0,0,0,0,0,74,35,41,13,0,0,0,0,0,0,1,0,293
Lisle 2,57,63,0,0,1,0,0,0,51,18,18,8,0,0,0,0,0,0,0,0,216
Lisle 3,65,44,1,0,0,0,0,0,60,34,95,21,2,2,1,0,0,0,0,0,325
Lisle 1,58,168,0,1,0,0,0,0,34,27,49,21,0,0,0,1,0,1,0,0,360
Lisle 6,44,50,0,0,0,0,0,0,40,41,35,9,1,0,0,0,0,0,0,0,220
Lisle 7,40,41,0,0,0,0,0,0,54,25,31,10,0,1,0,0,1,0,0,0,203
Lisle 4,74,75,0,0,0,0,0,0,55,55,61,26,2,0,0,0,0,0,0,0,348
Lisle 5,60,45,1,0,0,0,0,0,55,42,23,9,1,2,1,0,1,0,0,0,240
Waukegan 364,172,168,1,1,0,1,0,0,39,24,14,9,2,2,1,0,1,1,0,0,436
Vernon 275,233,149,0,0,0,0,0,0,62,45,99,21,0,0,0,1,0,0,0,0,610
Vernon 274,206,138,0,0,0,0,0,0,46,41,42,21,0,0,0,0,0,0,0,0,494
Vernon 277,177,140,0,0,0,0,0,0,66,59,68,24,0,1,0,1,0,0,0,0,536
Vernon 276,181,91,0,1,0,0,0,0,51,39,58,16,0,0,0,1,0,0,0,0,438
Vernon 271,100,51,1,0,0,0,0,0,79,51,93,15,0,1,0,2,0,0,0,0,393
Vernon 270,142,91,0,1,0,0,0,0,66,31,53,12,0,0,0,0,0,0,0,0,396
Vernon 273,263,165,0,0,1,0,0,0,45,56,58,22,1,0,0,0,0,0,0,0,611
Vernon 272,141,119,0,1,0,0,0,0,53,38,44,18,1,0,0,0,0,0,0,0,415
Vernon 279,184,81,1,0,0,0,0,0,77,38,57,22,1,1,0,0,0,0,0,0,462
Vernon 278,170,146,0,1,0,0,0,0,54,44,57,17,1,1,0,0,1,0,0,0,492
7900029,104,139,0,1,1,1,0,0,104,21,10,3,0,0,0,0,0,0,0,0,384
7900028,103,131,1,0,0,0,0,0,121,58,63,22,2,0,0,0,0,2,0,0,503
7900025,115,129,0,2,1,0,0,0,80,37,16,19,3,1,0,0,1,0,0,0,404
7900024,99,88,0,1,0,0,0,0,55,33,116,31,0,1,0,1,0,0,0,0,425
7900027,75,43,0,2,0,0,0,0,87,53,145,27,0,3,2,0,0,0,0,0,437
7900026,68,62,0,0,0,0,0,0,71,32,52,13,1,0,1,1,0,1,0,0,302
7900021,191,164,0,1,0,0,0,0,71,73,204,60,0,1,1,3,1,1,0,0,771
7900020,202,157,0,0,0,0,0,0,105,70,162,43,1,2,0,0,1,1,0,0,744
7900023,128,146,0,1,0,0,0,0,143,53,27,24,3,6,1,2,0,0,0,0,534
7900022,96,136,0,2,0,1,0,0,51,19,9,6,1,0,0,0,0,0,0,0,321
Wayne 37,63,45,0,1,0,0,0,0,76,118,51,20,1,2,1,0,2,0,0,0,380
Wayne 36,81,54,0,0,0,0,0,0,97,37,41,14,1,0,0,0,0,0,0,0,325
Wayne 35,42,44,0,1,0,1,0,0,74,36,48,13,1,2,1,0,0,0,0,0,263
Wayne 34,94,58,0,0,0,0,0,0,35,21,13,9,0,1,0,0,0,0,0,0,231
Wayne 33,61,67,0,0,0,0,0,0,55,34,29,17,0,0,0,1,0,0,0,0,264
Wayne 32,55,46,0,1,0,0,0,0,69,60,47,17,1,1,0,0,0,0,0,0,297
Wayne 31,73,51,0,0,0,0,0,0,24,10,8,6,0,0,0,0,0,0,0,0,172
Wayne 30,75,83,0,0,0,0,0,0,75,46,58,10,1,2,0,0,0,0,0,0,350
Wayne 39,76,67,0,0,0,0,0,0,84,79,49,15,0,1,0,2,0,0,0,0,373
Wayne 38,61,64,0,0,0,0,0,0,83,32,26,14,0,0,1,0,0,0,0,0,281
7700001,67,87,0,3,1,0,0,0,164,68,58,24,1,2,3,1,0,1,0,0,480
7700003,94,107,0,1,0,0,0,0,175,80,60,20,2,1,1,0,0,0,1,0,542
7700002,74,59,0,1,0,1,0,0,85,53,47,15,1,4,0,3,0,0,0,0,343
7700005,79,143,0,1,0,0,0,0,112,50,39,18,0,0,2,0,0,0,0,0,444
7700004,84,105,2,2,0,0,0,0,114,68,51,19,0,0,1,0,1,0,1,0,448
7700007,91,85,1,1,0,0,0,0,100,43,37,17,0,3,0,0,0,0,0,0,378
7700006,99,138,0,2,1,0,0,0,131,74,44,22,1,0,1,1,0,0,0,0,514
7700009,34,63,0,0,0,0,0,0,133,47,39,18,0,0,0,0,0,0,0,0,334
7700008,102,142,2,0,1,0,0,0,152,71,62,25,2,0,0,0,0,1,0,0,560
