County,PrecinctName,Registration,PartyName,VoteCount,Priority
McHENRY,Algonquin 32,753,Republican,0,
McHENRY,Algonquin 32,753,Republican,0,
McHENRY,Algonquin 38,901,Republican,86,
McHENRY,Algonquin 38,901,Republican,14,
McHENRY,Algonquin 38,901,Republican,0,
McHENRY,Algonquin 38,901,Republican,0,
McHENRY,Algonquin 41,1302,Republican,111,
McHENRY,Algonquin 41,1302,Republican,19,
McHENRY,Algonquin 41,1302,Republican,0,
McHENRY,Algonquin 41,1302,Republican,0,
McHENRY,Algonquin 23,980,Republican,124,
McHENRY,Algonquin 23,980,Republican,21,
McHENRY,Algonquin 23,980,Republican,0,
McHENRY,Algonquin 23,980,Republican,0,
McHENRY,Algonquin 24,928,Republican,70,
McHENRY,Algonquin 24,928,Republican,18,
McHENRY,Algonquin 24,928,Republican,0,
McHENRY,Algonquin 24,928,Republican,0,
McHENRY,Algonquin 30,1029,Republican,124,
McHENRY,Algonquin 30,1029,Republican,27,
McHENRY,Algonquin 30,1029,Republican,0,
McHENRY,Algonquin 30,1029,Republican,0,
McHENRY,Algonquin 8,958,Republican,71,
McHENRY,Algonquin 8,958,Republican,12,
McHENRY,Algonquin 8,958,Republican,0,
McHENRY,Algonquin 8,958,Republican,0,
McHENRY,Algonquin 17,1246,Republican,156,
McHENRY,Algonquin 17,1246,Republican,25,
McHENRY,Algonquin 17,1246,Republican,0,
McHENRY,Algonquin 17,1246,Republican,0,
McHENRY,Algonquin 7,468,Republican,67,
McHENRY,Algonquin 7,468,Republican,21,
McHENRY,Algonquin 7,468,Republican,0,
McHENRY,Algonquin 7,468,Republican,0,
McHENRY,Algonquin 6,787,Republican,77,
McHENRY,Algonquin 6,787,Republican,16,
McHENRY,Algonquin 6,787,Republican,0,
McHENRY,Algonquin 6,787,Republican,0,
McHENRY,Algonquin 61,712,Republican,62,
McHENRY,Algonquin 4,1000,Democrat,1,
McHENRY,Algonquin 4,1000,Democrat,9,
McHENRY,Algonquin 4,1000,Democrat,30,
McHENRY,Algonquin 4,1000,Democrat,9,
McHENRY,Algonquin 4,1000,Democrat,0,
McHENRY,Algonquin 4,1000,Democrat,34,
McHENRY,Algonquin 4,1000,Democrat,46,
McHENRY,Algonquin 4,1000,Democrat,0,
McHENRY,Algonquin 4,1000,Democrat,3,
McHENRY,Algonquin 4,1000,Democrat,34,
McHENRY,Algonquin 10,947,Democrat,4,
McHENRY,Algonquin 10,947,Democrat,3,
McHENRY,Algonquin 10,947,Democrat,21,
McHENRY,Algonquin 10,947,Democrat,9,
McHENRY,Algonquin 10,947,Democrat,0,
McHENRY,Algonquin 10,947,Democrat,44,
McHENRY,Algonquin 10,947,Democrat,45,
McHENRY,Algonquin 10,947,Democrat,0,
McHENRY,Algonquin 10,947,Democrat,3,
McHENRY,Algonquin 10,947,Democrat,16,
McHENRY,Algonquin 13,865,Democrat,3,
McHENRY,Algonquin 13,865,Democrat,3,
McHENRY,Algonquin 13,865,Democrat,16,
McHENRY,Algonquin 13,865,Democrat,3,
McHENRY,Algonquin 13,865,Democrat,0,
McHENRY,Algonquin 13,865,Democrat,29,
McHENRY,Algonquin 13,865,Democrat,27,
McHENRY,Algonquin 13,865,Democrat,0,
McHENRY,Algonquin 13,865,Democrat,5,
McHENRY,Algonquin 13,865,Democrat,9,
McHENRY,Algonquin 65,1363,Democrat,1,
McHENRY,Algonquin 65,1363,Democrat,4,
McHENRY,Algonquin 65,1363,Democrat,14,
McHENRY,Algonquin 65,1363,Democrat,9,
McHENRY,Algonquin 65,1363,Democrat,0,
McHENRY,Algonquin 65,1363,Democrat,21,
McHENRY,Algonquin 65,1363,Democrat,52,
McHENRY,Algonquin 65,1363,Democrat,0,
McHENRY,Algonquin 65,1363,Democrat,2,
McHENRY,Algonquin 65,1363,Democrat,18,
McHENRY,Algonquin 68,1475,Democrat,3,
McHENRY,Algonquin 68,1475,Democrat,8,
McHENRY,Algonquin 68,1475,Democrat,12,
McHENRY,Algonquin 68,1475,Democrat,11,
LAKE,Ela 98,885,Republican,139,
LAKE,Ela 98,885,Republican,19,
LAKE,Cuba 74,1082,Republican,134,
LAKE,Cuba 74,1082,Republican,17,
LAKE,Ela 93,906,Republican,105,
LAKE,Ela 93,906,Republican,30,
LAKE,Ela 81,1294,Republican,97,
LAKE,Ela 81,1294,Republican,15,
LAKE,Ela 102,1337,Republican,187,
LAKE,Ela 102,1337,Republican,39,
LAKE,Cuba 72,802,Republican,97,
LAKE,Cuba 72,802,Republican,21,
LAKE,Ela 82,1193,Republican,112,
LAKE,Ela 82,1193,Republican,18,
LAKE,Ela 83,1180,Republican,118,
LAKE,Ela 83,1180,Republican,25,
LAKE,Cuba 77,1245,Republican,166,
LAKE,Cuba 77,1245,Republican,23,
LAKE,Ela 99,1500,Republican,203,
LAKE,Ela 99,1500,Republican,38,
LAKE,Cuba 71,984,Republican,111,
LAKE,Cuba 71,984,Republican,18,
LAKE,Cuba 75,832,Republican,111,
LAKE,Cuba 75,832,Republican,26,
LAKE,Ela 100,1402,Republican,125,
LAKE,Ela 100,1402,Republican,18,
LAKE,Ela 105,1313,Republican,180,
LAKE,Ela 105,1313,Republican,17,
LAKE,Cuba 70,795,Republican,87,
LAKE,Cuba 70,795,Republican,16,
LAKE,Ela 78,826,Republican,121,
LAKE,Ela 78,826,Republican,20,
LAKE,Cuba 64,797,Republican,74,
LAKE,Cuba 64,797,Republican,9,
LAKE,Ela 85,902,Republican,79,
LAKE,Ela 85,902,Republican,30,
LAKE,Ela 86,1066,Republican,162,
LAKE,Ela 86,1066,Republican,20,
LAKE,Ela 94,1041,Republican,121,
LAKE,Ela 94,1041,Republican,26,
McHENRY,Algonquin 61,712,Republican,9,
