County,Precinct,Michael Mason,Peter J. Roskam
dupage,Wayne 15,20,21
dupage,Wayne 17,18,20
dupage,Milton 89,24,23
dupage,Wayne 11,9,9
dupage,Wayne 10,8,9
dupage,Wayne 13,13,13
dupage,Wayne 12,11,11
dupage,Milton 20,17,18
dupage,Milton 21,27,28
dupage,Milton 22,12,13
dupage,Milton 23,9,10
dupage,Milton 24,8,7
dupage,Milton 25,5,5
dupage,Milton 26,34,37
dupage,Milton 27,19,22
dupage,Milton 28,8,9
dupage,Milton 29,13,14
dupage,Downers Grove 85,6,6
dupage,Downers Grove 84,12,12
dupage,Downers Grove 83,6,6
dupage,Naperville 5,18,19
dupage,Naperville 7,9,9
dupage,York 75,28,32
dupage,Downers Grove 37,6,6
dupage,Downers Grove 92,26,28
dupage,Lisle 31,11,12
dupage,Naperville 10,19,19
dupage,Downers Grove 10,20,22
dupage,York 77,16,15
dupage,Downers Grove 7,5,6
dupage,York 100,21,21
dupage,York 101,18,15
dupage,Downers Grove 16,9,8
dupage,Downers Grove 17,14,16
dupage,Downers Grove 6,8,7
dupage,York 105,7,6
dupage,York 106,6,7
dupage,York 109,14,15
dupage,Downers Grove 8,33,37
dupage,Downers Grove 9,20,19
dupage,Downers Grove 18,27,25
dupage,Naperville 22,13,15
dupage,Downers Grove 113,16,14
dupage,Lisle 32,11,11
dupage,York 42,22,20
dupage,York 43,18,18
dupage,Downers Grove 109,17,16
dupage,Lisle 37,15,15
dupage,Naperville 26,9,8
dupage,Lisle 91,15,14
dupage,Lisle 38,9,8
dupage,Downers Grove 106,9,10
dupage,Downers Grove 107,8,8
dupage,Downers Grove 103,14,13
dupage,Downers Grove 102,8,9
dupage,Milton 55,5,6
dupage,Milton 54,7,7
dupage,Milton 57,18,17
dupage,Milton 56,16,16
dupage,Milton 51,7,7
dupage,Milton 50,26,29
dupage,Lisle 56,21,22
dupage,Milton 52,21,21
dupage,Lisle 59,10,10
dupage,Wayne 42,27,28
dupage,Milton 58,22,20
dupage,Wayne 40,19,19
dupage,Downers Grove 19,11,11
dupage,Milton 9,9,11
dupage,Milton 8,18,20
dupage,Lisle 40,7,7
dupage,Downers Grove 11,20,22
dupage,Downers Grove 51,20,20
dupage,Milton 1,19,20
dupage,Downers Grove 127,9,9
dupage,Milton 3,10,10
dupage,Milton 2,28,25
dupage,Milton 5,27,28
dupage,Milton 4,9,9
dupage,Milton 7,9,11
dupage,Milton 6,20,18
dupage,Bloomingdale 68,32,34
dupage,York 111,32,30
dupage,Downers Grove 130,15,15
dupage,York 114,36,34
dupage,Naperville 31,31,31
dupage,York 119,6,6
dupage,York 18,31,35
dupage,Lisle 44,10,10
dupage,Lisle 25,16,16
dupage,Milton 108,29,28
dupage,Milton 109,5,5
dupage,Downers Grove 94,24,25
dupage,Downers Grove 118,11,11
dupage,Lisle 22,11,10
dupage,Milton 102,12,12
dupage,York 74,27,26
dupage,Milton 100,17,17
dupage,Downers Grove 57,6,6
dupage,Milton 106,8,7
dupage,Milton 107,10,8
dupage,Milton 104,8,9
dupage,Milton 105,19,18
dupage,Milton 46,22,21
dupage,Milton 47,29,27
dupage,Milton 44,23,23
dupage,Milton 45,23,23
dupage,Milton 42,14,15
dupage,Milton 43,19,19
dupage,Milton 40,17,16
