Precinct,Registered Voters,Peter J. Roskam
Downers Grove 66,618,11,
Downers Grove 67,988,34,
Downers Grove 69,565,21,
Downers Grove 70,968,23,
Downers Grove 71,812,17,
Downers Grove 73,604,10,
Downers Grove 74,901,27,
Downers Grove 75,704,19,
Downers Grove 76,933,17,
Downers Grove 78,587,6,
Downers Grove 79,974,14,
Downers Grove 82,734,10,
Downers Grove 83,868,6,
Downers Grove 84,715,12,
Downers Grove 85,617,6,
Downers Grove 87,948,25,
Downers Grove 92,1117,28,
Downers Grove 94,832,25,
Downers Grove 96,601,23,
Downers Grove 97,674,19,
Downers Grove 98,713,10,
Downers Grove 102,1001,9,
Downers Grove 103,624,13,
Downers Grove 105,875,11,
Downers Grove 106,633,10,
Downers Grove 107,492,8,
Downers Grove 109,800,16,
Downers Grove 112,742,12,
Downers Grove 113,1206,14,
Downers Grove 115,707,16,
Downers Grove 118,848,11,
Downers Grove 119,582,3,
Downers Grove 120,797,21,
Downers Grove 121,557,15,
Downers Grove 127,613,9,
Downers Grove 129,649,16,
Downers Grove 130,603,15,
Downers Grove 131,392,10,
Downers Grove 132,511,7,
